01.001.01	J'invoque Agni (en tant que) préposé (au culte), dieu du sacrifice, officiant,/ oblateur conférant les trésors par excellence.
01.001.02	Agni est digne d'être invoqué par les Prophètes antiques ainsi que par ceux de maintenant:/ qu'il convoie les dieux ici!
01.001.03	Grâce à Agni puisse (le sacrifiant) atteindre richesse (et) prospérité jour après jour,/ (richesse et prospérité) honorable, très abondante en hommes d'élite!
01.001.04	O Agni, le sacrifice, le rite que tu environnes de toutes parts,/ celui-là seul va chez les dieux.
01.001.05	Agni, oblateur ayant le pouvoir-spirituel d'un poète, (Agni) réel au renom très éclatant,/ dieu (lui-même), qu'il vienne avec les dieux! 
01.001.06	En vérité, quand tu décideras toi(-même), ô Agni, de faire du bien à l'adorateur,/ c'est à toi (qu'en reviendra le mérite) réel, ô Aṅgiras.
01.001.07	Nous t'approchons jour après jour, ô Agni, grâce à la vision-poétique, ô toi qui éclaires durant les nuits,/ nous-mêmes, en t'apportant l'hommage,
01.001.08	toi qui régis les rites (comme) gardien de l'Ordre-sacré, (dieu) éclatant,/ qui prends croissance en ta propre maison.
01.001.09	Tel (étant), sois nous d'accès facile comme (l'est) un père pour le fils, ô Agni;/ tiens toi à nos côtés, pour (notre) salut!
01.002.01	O Vāyu, arrive, ô (dieu) beau à voir! Ces soma-ci (sont) à disposition:/ bois en; écoute l'appel (aux dieux)!
01.002.02	O Vāyu, les chantres t'éveillent avec des hymnes, (chantant) vers toi,/ ayant du soma pressé, eux qui connaissent les jours. 
01.002.03	O Vāyu, ta langue s'avance, comblant (de biens), vers l'adorateur,/ se faisant-large pour boire le soma.
01.002.04	O Indra et Vāyu, voici les (soma) pressés: venez ici avec les (dons de) satisfaction!/ Car les jus (de soma) vous réclament. 
01.002.05	O Vāyu ainsi que (toi qui es) Indra, vous remarquez les (soma) pressés, ô (dieux) riches en grands prix-de-victoire:/ tels (étant), arrivez ici en courant!
01.002.06	O Vāyu ainsi que (toi qui es) Indra, arrivez vers le rendez-vous du presseur (de soma),/ bien-vite, avec la pensée (disposée) ainsi (qu'il faut), ô seigneurs! 
01.002.07	J'appelle Mitra à la pensée-agissante clarifiée, et aussi Varuṇa qui veille sur l'Étranger,/ (eux deux) qui mènent-au-but la vision-poétique marquée de beurre (rituel). 
01.002.08	Par l'effet de l'Ordre, ô Varuṇa et Mitra, ô (dieux) invigorés par l'Ordre, ô (dieux) en contact avec l'Ordre,/ vous avez atteint-pour-toujours le haut pouvoir-spirituel. 
01.002.09	Les deux Poètes Varuṇa et Mitra, de puissante sorte, de vaste résidence,/ nous ont conféré la pensée-agissante active. 
01.004.01	(Ce dieu) assumant une belle forme, nous l'appelons jour après jour/ comme (on appelle) une (vache) bonne à traire pour le trayeur de vaches. 
01.004.02	Viens vers nos pressurages, bois du soma, ô buveur de soma!/ Oui, donneuse de vaches (est) l'ivresse du (dieu) riche. 
01.004.03	Et puissions nous connaître de tes faveurs intimes!/ Que ton regard ne passe pas outre à nous, viens ici! 
01.004.04	Va au loin (ô sacrificateur), interroge sur le fougueux, l'invincible Indra (un homme) qui s'entend aux paroles-sacrées,/ (sur Indra) qui (est) préférable pour toi à (tous) amis! 
01.004.05	Qu'on laisse nos critiques dire "vous vous êtes privés de (tout) autre (objet d'adoration)/ en plaçant en Indra seul (votre) hommage-préférentiel"! 
01.004.06	Qu'on laisse l'Étranger, les peuplades nous appeler "bienheureux", ô (dieu) merveilleux,/ nous voulons être sous la seule sauvegarde d'Indra! 
01.004.07	Apporte ici au rapide (Indra) le rapide (soma) qui embellit le sacrifice, qui enivre les hommes,/ qui se hâtant réjouit les amis!
01.004.08	Après avoir bu de ce (soma), ô (dieu) aux cent pouvoirs-rituels, tu es devenu une massue (pour le meurtre) des ennemis;/ tu as aidé (plus) en avant pour les prix-de-victoire l'(homme) cherchant-les-prix.
01.004.09	Tel (étant), nous t'invigorons pour les prix-de-victoire, toi qui-donnes-les-prix, ô (dieu) aux cent pouvoirs-rituels,/ ô Indra, pour (que nous) gagnions les enjeux. 
01.004.10	Lui qui est un grand courant de richesse, (dieu) qui fait bien traverser, ami du presseur (de soma),/ à cet Indra chantez! 
01.005.01	Venez donc ici, asseyez vous, entonnez le chant pour Indra,/ ô amis qui avez pour charroi le corps-de-louange! 
01.005.02	Le premier d'entre les nombreuses (divinités), le régisseur des choses souhaitables,/ Indra, (chantez le) en accompagnement du soma pressé! 
01.005.03	En vérité, qu'il soit proche de nous dans l'expédition, qu'il (le soit) dans la richesse (acquise), qu'il (le soit) dans la pleine-possession;/ Qu'il vienne à nous ici avec les prix-de-victoire! 
01.005.04	Lui de qui les ennemis dans la mêlée n'arrêtent pas les deux alezans, dans les batailles,/ à cet Indra chantez! 
01.005.05	Vers le (dieu) buveur de soma vont ces (soma) pressés, purs, pour (l') inviter (à boire),/ (et aussi les) soma mélangés de lait-caillé! 
01.005.06	Toi, pour boire le (soma) pressé tu es né grand d'un coup,/ ô Indra, pour (atteindre) la souveraineté, ô (dieu) aux bons pouvoirs-rituels. 
01.005.07	Que te pénètrent les rapides soma, ô Indra, ô (dieu) gagneur des chants (humains)!/ Qu'ils te soient à bienfait, à toi (dieu) prévoyant! 
01.005.08	C'est toi que les corps-de-louange ont (toujours) fortifié, toi les hymnes, ô (dieu) aux cent pouvoirs-rituels,/ toi, que nos chants te fortifient (aujourd'hui)! 
01.005.09	Ce prix-de-victoire milluple, puisse le gagner Indra à l'inépuisable secours,/ lui en qui (sont) toutes les forces-mâles. 
01.005.10	Que les (ennemis) mortels ne s'attaquent pas-malicieusement à nos personnes, ô Indra, ô gagneur de chants (humains)!/ Toi qui es le maître, écarte-au-loin l'arme-de-mort! 
01.006.01	(Les anciens chantres) attellent le (cheval solaire) fauve, couleur-de-feu, qui se meut-autour à partir de (l'espace) immobile. Brillent au ciel les domaines-lumineux. 
01.006.02	Ils attellent au char les deux aimables alezans de cet (Indra), aux ailes d'oiseau,/ (chevaux) rouges, audacieux, ayant le seigneur pour monture. 
01.006.03	Toi (ô Agni solaire) qui crées un signe-lumineux pour (l'homme) dénué de signe-lumineux, un ornement-ciselé pour (l'homme) dénué d'ornement-ciselé, ô jeunes (chantres),/ tu es né avec les aurores. 
01.006.04	Depuis lors (les Aṅgiras), selon leur libre-statut, ont accédé à l'état d'embryon/ en recevant un nom sacrificiel. 
01.006.05	Avec (eux, ces) guides, qui ont brisé la (roche, si solide fût elle), ô Indra/ tu as découvert les vaches-amorales (qui étaient) pourtant dans la cachette. 
01.006.06	Comme (les gens) aimant les dieux (entonnent) la prière, (ainsi nos) chants ont résonné vers (Indra, dieu) qui procure la richesse,/ vers le grand, le célèbre (dieu). 
01.006.07	Oui, on te voit (ô Agni) en compagnie d'Indra, associé au (dieu) qui n'a-jamais-eu-peur,/ vous deux réjouissants, de même prestige. 
01.006.08	Avec les troupes (d'Aṅgiras) irréprochables, brillantes, aimées d'Indra, (Indra le dieu) généreux chante (en attestant sa) force-dominante. 
01.006.09	Viens de cette (terre), ô (dieu) qui circules autour (du monde,) ou (viens) du domaine-lumineux du ciel!/ Les chants confluent vers ce (dieu). 
01.006.10	D'ici, (c'est-à-dire) de l'espace-terrestre, nous prions Indra pour (obtenir) le gain; ou bien du ciel;/ ou (enfin) du grand espace (aérien). 
01.007.01	C'est vers Indra que les tenants-de-strophes-chantées (ont retenti) puissamment, vers Indra les tenants-de-louange avec leurs louanges,/ vers Indra les paroles-mélodieuses ont retenti. 
01.007.02	C'est Indra qui est associé-attributivement aux deux alezans; qu'Indra, (dieu) au foudre, couleur d'or, (monte les deux alezans) qu'attelle la parole! 
01.007.03	Indra a fait monter le soleil au ciel afin qu'on le voie au loin;/ il a ouvert la montagne avec les vaches (enfermées). 
01.007.04	O Indra, aide nous pour les prix-de-victoire et les (occasions où les) enjeux sont de mille,/ (en dieu) formidable avec (tes) aides formidables! 
01.007.05	Nous (autres,) appelons Indra pour le grand enjeu, pour le petit,/ (en sorte qu'il soit) associé pour les combats-contre-les-ennemis, (ce dieu) au foudre. 
01.007.06	Tel (étant), ô (dieu) mâle, ô toi qui donnes toujours, découvre pour nous (le couvercle de) ce chaudeau là-bas,/ toi qu'on ne peut refouler! 
01.007.07	Les corps-de-louange qui, poussée après poussée, (vont toujours) plus haut,.../ de cet Indra porte-foudre/ je ne manque pas la bonne louange. 
01.007.08	Comme le mâle taureau (met en marche) les troupeaux, (Indra) met en marche les peuplades avec sa force-formidable,/ (dieu) puissant, impossible à refouler. 
01.007.09	(C'est lui) seul qui commande aux populations, aux richesses,/ Indra, (qui commande) aux cinq peuplades. 
01.007.10	Indra, nous l'appelons pour vous de toutes parts, de (toutes) les tribus:/ qu'il soit exclusivement à nous! 
01.008.01	O Indra, la richesse faite de gain, victorieuse, toujours triomphante,/ la (richesse la) plus haute, apporte la pour (qu'elle nous vienne en) aide! 
01.008.02	Grâce à laquelle nous pourrons bloquer les forces-ennemies par le massacre (du combat) aux poings,/ (ou par le combat) à cheval, nous étant aidés de toi. 
01.008.03	O Indra, nous (autres,) aidés par toi, puissions nous recevoir (de toi) le foudre avec la massue!/ Puissions nous vaincre ensemble les ennemis dans le combat! 
01.008.04	Nous (autres,) avec les héros, avec les archers, ô Indra, nous, avec toi pour associé,/ puissions nous l'emporter sur ceux qui guerroient. 
01.008.05	Grand (est) Indra et qu'au-delà encore soit (sa) grandeur, à lui (dieu) porte-foudre!/ Comme le ciel (est sa) force en étendue. 
01.008.06	Les seigneurs qui dans le rassemblement (guerrier) ont réussi, (ou) quand (il s'agit de) gagner une descendance,/ ou (enfin) les orateurs-sacrés voués à la vision-poétique... 
01.008.07	Les entrailles (d'Indra), buveuses de soma par excellence, qui gonflent tel l'océan,/(son) gosier telles les vastes eaux... 
01.008.08	Ainsi sa libéralité (est elle) débordante, riche en vaches, grande,/ telle une branche mûre pour le donateur. 
01.008.09	Ainsi tes aides (sont elles) largement-présentes, ô Indra, pour un (homme) tel que moi;/ elles sont (disponibles) sur-le-champ pour le donateur. 
01.008.10	Ainsi (sont) choses-aimées de ce (dieu) les corps-de-louange de l'hymne, (choses) propres à être récitées/ pour Indra, pour qu'il boive le soma. 
01.009.01	O Indra, viens, enivre toi du breuvage sômique avec toutes les nodosités (de la tige) de soma,/ toi le grand qui domines en force-formidable! 
01.009.02	Lâchez le sur le (soma) pressé, (versez ce soma) réjouissant pour Indra (dieu) réjouissant,/ (soma) agissant pour (le dieu) qui agit toutes choses! 
01.009.03	Enivre toi, ô (dieu) aux belles lèvres, avec les corps-de-louange réjouissants, ô (dieu) appartenant à toutes les populations,/ ensemble pour les pressurages que voici! 
